code,auc,N,variance,outcome,z_score,p_2tail,model
Childbirth,3.991312527062886,3971,2.0348981955951015,cognitive,2.0652066278603565,0.03890345367778779,conditional
Friend_died,-0.7746743369403953,9281,0.25169993158213083,cognitive,-1.420653120590434,0.15541762734998885,conditional
Home_lost,-5.176507818762153,1315,12.32666064463336,cognitive,-0.3645851648445252,0.7154210904411271,conditional
Relative_died,0.26906667077421054,11411,0.26128500647834146,cognitive,1.1697233085245304,0.24211233500992124,conditional
Widowed,-3.0446029887057398,1213,6.64439899336424,cognitive,-0.2592976087357614,0.7954056242858408,conditional
Money_gained,4.815605800479115,3796,1.5173306306649288,cognitive,1.6908603993483529,0.09086346819002518,conditional
Money_lost,-6.934703404074588,3375,1.085229876965717,cognitive,-0.7121602563665645,0.47636554462909303,conditional
Fired,-2.5801516340094404,3870,1.459331376232864,cognitive,-1.6049674170991473,0.1085009754195295,conditional
Family_harmed,-0.7400039058860974,12102,0.17673130179615032,cognitive,0.7452787495161355,0.45610322491545713,conditional
Health_shock,-4.4214234275067605,8244,0.32624153369951026,cognitive,1.7075738156413147,0.08771545036675812,conditional
Relative_jailed,-2.0266830182570823,1484,2.012012932662976,cognitive,-1.0808139826840517,0.2797798673106909,conditional
Jailed,-2.4234855510292395,336,24.889937709934806,cognitive,-0.4191477741235972,0.6751081376572189,conditional
Hired,-1.362321890660435,10023,0.22671939192600188,cognitive,-1.0715907229278123,0.2839039020254446,conditional
Married,4.092067737052184,3425,3.3273474645568535,cognitive,2.768185205023011,0.005636941234564462,conditional
Moved,-1.4019287125856037,12347,0.17914579240104783,cognitive,-2.8119687371334625,0.004923928885089348,conditional
Robbed,-1.1612953132856638,5015,1.019706688342322,cognitive,0.5378097594032034,0.5907083935837472,conditional
Pregnant,-1.254807467927012,4485,1.1183939387128976,cognitive,0.2917167035565031,0.7705032368614106,conditional
Promoted,-0.5746381414013667,5669,0.5022429773655095,cognitive,-1.1858787018910115,0.23567020519075352,conditional
Reconciled,2.746043383327511,1370,5.722234398108135,cognitive,0.8635130207273053,0.38785546358658385,conditional
Retired,4.099392741997736,2818,1.4909673615724823,cognitive,2.0468227125713834,0.040675494771749324,conditional
Separated,-7.170252323055207,4225,1.1310505337904557,cognitive,-2.7090709782992866,0.006747190366696569,conditional
Attacked,-0.9791199420653723,1821,2.6163384996940513,cognitive,0.48847224288479735,0.6252153818962426,conditional
Childbirth,-0.28098630975363553,4158,2.244633285848585,affective,2.0652066278603565,0.03890345367778779,conditional
Friend_died,0.24344402426631767,9734,0.26189465828641817,affective,-1.420653120590434,0.15541762734998885,conditional
Home_lost,-3.333140587482989,1447,13.237158705590026,affective,-0.3645851648445252,0.7154210904411271,conditional
Relative_died,-0.5942522384200856,12060,0.28343862780673545,affective,1.1697233085245304,0.24211233500992124,conditional
Widowed,-2.0476644942024915,1271,8.137822584729278,affective,-0.2592976087357614,0.7954056242858408,conditional
Money_gained,1.8193198210337387,4059,1.6228238829349508,affective,1.6908603993483529,0.09086346819002518,conditional
Money_lost,-5.88497840006248,3445,1.0874493772254232,affective,-0.7121602563665645,0.47636554462909303,conditional
Fired,0.22430727928833918,4058,1.593942228803833,affective,-1.6049674170991473,0.1085009754195295,conditional
Family_harmed,-1.186471088631666,12725,0.18214237767000663,affective,0.7452787495161355,0.45610322491545713,conditional
