term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
pre24,0.06500565966033023,0.030059846696902506,2.162541290239803,0.030605898587075096,1956,8032,1301,levio,losat,0.10354192473216521,0.026469394588495246
pre12,-0.03851426473147188,0.02926785274511902,-1.315923824917251,0.1882371668771175,2089,8032,1301,levio,losat,-9.94131669175051e-4,-0.07603439779376872
post03,-0.14391894856017778,0.04322337374155954,-3.329655603023853,8.734513707999641e-4,752,8032,1301,levio,losat,-0.08847719779567573,-0.19936069932467984
post06,-0.05641899766226419,0.051989196274547365,-1.0852061910002164,0.2778629128820183,478,8032,1301,levio,losat,0.010300239772949214,-0.1231382350974776
post09,-0.1330304217748289,0.05619910724910756,-2.3671269578208722,0.01795035395043485,406,8032,1301,levio,losat,-0.060890697242291306,-0.20517014630736652
post12,-0.02585440669277668,0.054668543529505245,-0.4729302268465001,0.6362758100829773,455,8032,1301,levio,losat,0.0443082441767524,-0.09601705756230576
post24,-0.02525937756661218,0.032845511970116904,-0.7690358911011451,0.4418946168566772,2115,8032,1301,levio,losat,0.016846997421796336,-0.0673657525550207
post36,0.01114722000976801,0.033869488152395856,0.3291227773980836,0.7420714698268276,1902,8032,1301,levio,losat,0.05456780424822321,-0.032273364228687186
post48,0.025049315136677523,0.039021691643138554,0.6419330911063184,0.5209349468146959,1676,8032,1301,levio,losat,0.07507735558384217,-0.024978725310487126
pre24,-0.02587649500294568,0.04241723066523622,-0.6100467804503139,0.5418569047255799,1215,5314,913,lercl,losat,0.028512969520093457,-0.08026595952598482
pre12,-0.027874055901496424,0.04009348677353696,-0.6952265353956252,0.4869437439939408,1280,5314,913,lercl,losat,0.02353436717708848,-0.07928247898008133
post03,-0.02863261035980556,0.06299442221919838,-0.45452612074405846,0.6494687613035053,477,5314,913,lercl,losat,0.05221018699388548,-0.1094754077134966
post06,0.10694282765098106,0.07019157788759998,1.5235848925099251,0.1276719444104114,300,5314,913,lercl,losat,0.19709614261848635,0.016789512683475796
