term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
pre24,0.006641796584599488,0.07373143531017365,0.09008093436210425,0.9282377590478803,424,1214,274,levio,losat,0.1012802332346207,-0.08799664006542172
pre12,-0.13249187494409734,0.07234218750481371,-1.8314607217991745,0.06727674331276524,432,1214,274,levio,losat,-0.03963931176305584,-0.22534443812513882
post03,-0.14469470006189908,0.10403182940024479,-1.3908695146099066,0.16451987070434626,150,1214,274,levio,losat,-0.010778777293798919,-0.27861062282999927
post06,-0.33681237928690794,0.1193914511504915,-2.8210761829367494,0.004864239985751511,91,1214,274,levio,losat,-0.18267456558901285,-0.490950192984803
post09,-0.47146046970076894,0.161338015921486,-2.922190824078324,0.0035401519827766344,78,1214,274,levio,losat,-0.26290800817365034,-0.6800129312278875
post12,0.07566355354125272,0.12897679830554934,0.5866446875352249,0.5575514303005067,90,1214,274,levio,losat,0.24219016609398214,-0.09086305901147669
post24,-0.12966297606877203,0.0789971089261412,-1.6413635616716198,0.10098098478455812,421,1214,274,levio,losat,-0.028264618777710457,-0.2310613333598336
post36,-0.02507694345033762,0.08254955528792925,-0.30378047904522726,0.761347195638014,381,1214,274,levio,losat,0.08089880352633529,-0.1310526904270105
post48,0.12138231552692862,0.08455270674851233,1.435581664912984,0.15137901063825038,344,1214,274,levio,losat,0.2299500711246286,0.012814559929228642
pre24,0.023128802453431456,0.10682434225045868,0.21651247240262925,0.8286489597487563,236,728,176,lercl,losat,0.1604156453841646,-0.11415804047730169
pre12,0.21432189875120708,0.10706812624819276,2.001733907758797,0.04568396654746215,245,728,176,lercl,losat,0.3519077367571921,0.07673606074522207
post03,0.003973968834899375,0.1715778428589942,0.023161317153085177,0.9815279415462863,96,728,176,lercl,losat,0.22539972922197593,-0.2174517915521772
post06,0.444967482788135,0.19865301455470458,2.2399231332359215,0.02539694716226888,49,728,176,lercl,losat,0.7031049332657919,0.18683003231047812
post09,0.2134702676992463,0.21399949969381096,0.9975269475147284,0.31884024102811565,41,728,176,lercl,losat,0.49232810501967184,-0.06538756962117923
post12,0.1730643439548294,0.18396158707312749,0.9407634860533886,0.3471381257110888,44,728,176,lercl,losat,0.4124998433616218,-0.06637115545196304
post24,0.3408321039314801,0.11830485831508747,2.8809645587311747,0.004081180034759592,236,728,176,lercl,losat,0.49287329753289744,0.1887909103300628
post36,0.43060677220097743,0.12347530804816327,3.4873917628374187,5.170462277623303e-4,218,728,176,lercl,losat,0.5893299623716236,0.27188358203033125
post48,0.1651367590606761,0.13961727578991823,1.1827817018085711,0.23728180567487148,193,728,176,lercl,losat,0.3446812785488078,-0.014407760427455646
pre24,0.0021547917526052417,0.015144676917829357,0.14228047018081133,0.8868597406431491,8422,22596,3927,leinf,losat,0.02156499882152983,-0.017255415316319345
pre12,-0.015202948356724342,0.015228083727266323,-0.9983494068595791,0.31812064829412623,8459,22596,3927,leinf,losat,0.004314150527024132,-0.03472004724047281
post03,-0.02744447582652629,0.022190596061054942,-1.2367615430886076,0.21618847700766305,3024,22596,3927,leinf,losat,0.0010001331119298823,-0.055889084764982465
post06,0.009248617736499478,0.02677231062389075,0.3454545954747107,0.7297558548900327,1810,22596,3927,leinf,losat,0.04357124803978235,-0.02507401256678339
post09,-0.01018812638584259,0.03147682897759165,-0.3236706719439723,0.7461903724583346,1254,22596,3927,leinf,losat,0.030172331720450012,-0.05054858449213519
post12,-0.05513163323439131,0.027932475246251552,-1.9737467857163786,0.048422704972111485,1748,22596,3927,leinf,losat,-0.019321184732078785,-0.09094208173670384
post24,-0.018785412030468136,0.015297464142045317,-1.228008240845366,0.21945666572045813,8330,22596,3927,leinf,losat,8.206320960800241e-4,-0.03839145615701629
post36,0.008579994768021952,0.015578723399287625,0.5507508252193689,0.5818099430186232,8072,22596,3927,leinf,losat,0.028546566352328488,-0.011386576816284584
post48,0.013485029612053001,0.01593841401049359,0.8460709831715175,0.3975221063982861,7876,22596,3927,leinf,losat,0.03391264261080318,-0.00694258338669718
pre24,0.004277578658873469,0.01760272487839069,0.24300661905615953,0.8080028568689159,5899,19266,3465,ledrl,losat,0.026838905226421426,-0.018283747908674486
pre12,-0.005700936534527153,0.017662136698310228,-0.3227772852121891,0.7468674195076642,5884,19266,3465,ledrl,losat,0.01693654433813568,-0.028338417407189984
post03,0.013430347016308406,0.027330650214059733,0.491402396617678,0.6231474674005192,1810,19266,3465,ledrl,losat,0.04846877968742857,-0.021608085654811753
post06,-0.01514092284598704,0.03189017758299348,-0.4747832716385202,0.6349468392271821,1286,19266,3465,ledrl,losat,0.025749005103792563,-0.05603085079576664
post09,-0.08555186096584717,0.03422295351992085,-2.4998386219368314,0.012433237186862888,994,19266,3465,ledrl,losat,-0.04166418461258605,-0.1294395373191083
post12,0.079370568571883085,0.03089727275139201,2.568853542852167,0.010211016296401377,1317,19266,3465,ledrl,losat,0.1189869032877445,0.03975423385602166
post24,0.005543137830566536,0.018562435994977988,0.29862124949905366,0.765232270723706,5626,19266,3465,ledrl,losat,0.02933465079529883,-0.01824837513416576
post36,0.011285645811933928,0.018687201369378396,0.603923808004073,0.5459014100133318,5160,19266,3465,ledrl,losat,0.03523732492728629,-0.012666033303418435
post48,0.001689099016758946,0.019266270560323984,0.08767130158741744,0.9301388409555038,4764,19266,3465,ledrl,losat,0.026383243124353386,-0.023005045090835497
pre24,-1.414213562373094,5.639671981552989e-25,-2507616696500962e9,0,17,0,17,ledhm,losat,-1.414213562373094,-1.414213562373094
pre12,-2.828427124746188,NaN,NaN,NaN,10,0,17,ledhm,losat,NaN,NaN
post03,-1.4142135623730878,NaN,NaN,NaN,2,0,17,ledhm,losat,NaN,NaN
post06,-1.414213562373093,9.514684098594373e-24,-14863484144281975e7,0,1,0,17,ledhm,losat,NaN,NaN
post09,-2.8284271247461863,NaN,NaN,NaN,5,0,17,ledhm,losat,NaN,NaN
post12,-1.4142135623730931,NaN,NaN,NaN,3,0,17,ledhm,losat,NaN,NaN
post24,-1.414213562373095,NaN,NaN,NaN,14,0,17,ledhm,losat,NaN,NaN
post36,9.906051841621993e-17,NaN,NaN,NaN,14,0,17,ledhm,losat,NaN,NaN
post48,1.4142135623730938,5.826157552139153e-25,2427352075046179e9,0,10,0,17,ledhm,losat,1.4142135623730938,1.4142135623730938
pre24,-0.005548414931069822,0.017383044327580466,-0.31918545604043236,0.7495897702194492,6401,17160,3034,ledfr,losat,0.01673115239262838,-0.02782798225476802
pre12,-0.025419750186793703,0.017950322428594293,-1.4161166345569842,0.1567595091675564,6339,17160,3034,ledfr,losat,-0.0024130884454247638,-0.048426411928162647
post03,-0.01073616049903267,0.024854112293102904,-0.4319671679447585,0.6657707031130797,2282,17160,3034,ledfr,losat,0.02112489326048972,-0.04259721425855506
post06,-0.05032961197921508,0.03197707640671167,-1.5739278769290928,0.1155225596508918,1326,17160,3034,ledfr,losat,-0.009328898072682466,-0.09133032588574769
post09,-0.0958573350456907,0.036632669058927196,-2.616717195558284,0.008885767745435305,906,17160,3034,ledfr,losat,-0.048876386983885016,-0.14283828310749638
post12,-0.024652378598107153,0.03645111394274826,-0.6763134492083637,0.4988507706714569,939,17160,3034,ledfr,losat,0.02209452587965403,-0.07139928307586833
post24,-0.028942939260049615,0.018172705001475782,-1.5926599401519583,0.11125491752414404,6058,17160,3034,ledfr,losat,-0.005651140439812526,-0.052234738080286704
