term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
pre24,0.07308245190410022,0.03258546337156328,2.242793084473302,0.0249345117072817,2133,8959,1821,levio,cognitive,0.11485534678722323,0.031309557020977215
pre12,-0.044900326811379156,0.029848818219773737,-1.5042581076672024,0.1325501715211196,2496,8959,1821,levio,cognitive,-0.006637396276185932,-0.08316325734657237
post03,-0.13141369576560458,0.040850517368726795,-3.2169407936607586,0.0013002587086317608,1046,8959,1821,levio,cognitive,-0.07902853572594426,-0.1837988558052649
post06,-0.08766303110672244,0.05004642617638096,-1.7516341885785713,0.07987094465227135,646,8959,1821,levio,cognitive,-0.02346019890389822,-0.15186586330954666
post09,-0.13935013698349263,0.052951542908722726,-2.631653948662135,0.008511596231216124,548,8959,1821,levio,cognitive,-0.07140795074315556,-0.2072923232238297
post12,-0.03069447672030436,0.05175220033435075,-0.5931047669857386,0.5531260117593,640,8959,1821,levio,cognitive,0.03569727340430483,-0.09708622684491354
post24,-0.02700201916811473,0.03231671314318324,-0.8355434863836215,0.4034340549608577,2626,8959,1821,levio,cognitive,0.01442394024582223,-0.06842797858205169
post36,-9.114500704279062e-4,0.033560770419627683,-0.027158198665631753,0.978334160918652,2323,8959,1821,levio,cognitive,0.0421106473753396,-0.043933547516195416
post48,0.015418350784404887,0.0385569644680622,0.39988497531169326,0.6892507724632457,2050,8959,1821,levio,cognitive,0.06484702477557683,-0.03401032320676705
pre24,-0.02284353752326179,0.04310871696089913,-0.5299052983641696,0.5961959658735323,1342,6403,1370,lercl,cognitive,0.03242973477836045,-0.07811680982488403
pre12,-0.006398230209096754,0.03953949099507188,-0.16181872978319867,0.8714537089130582,1605,6403,1370,lercl,cognitive,0.044294543937272786,-0.05709100435546629
post03,-0.052821662115993116,0.05890450895847932,-0.896733765376537,0.36989471164320276,684,6403,1370,lercl,cognitive,0.022740588372059257,-0.1283839126040455
post06,0.06969938196277577,0.06318345029173827,1.1031271898092196,0.270013392291522,482,6403,1370,lercl,cognitive,0.15078359378056394,-0.011384829855012393
post09,0.07073296139932203,0.06662760539960924,1.061616442240274,0.2884498857699974,319,6403,1370,lercl,cognitive,0.15629742718028566,-0.014831504381641589
post12,0.0034207205924542488,0.0643314971153742,0.053173340367307434,0.9575954556620485,367,6403,1370,lercl,cognitive,0.08601392939806707,-0.07917248821315856
post24,0.08385706273178034,0.043653653690088876,1.920963210252874,0.054780698783371155,1717,6403,1370,lercl,cognitive,0.13982301585811654,0.027891109605444143
post36,0.060083738189887374,0.05057923063229878,1.1879132489516206,0.23491165096881272,1537,6403,1370,lercl,cognitive,0.12493151998104629,-0.004764043601271535
post48,0.091380064961677,0.05657457786705319,1.6152142606598778,0.1063135726529849,1325,6403,1370,lercl,cognitive,0.16391949683223508,0.018840633091118913
pre24,0.0037795164520603554,0.009385943545880059,0.40267837043611526,0.6871859093034265,23702,81089,12102,leinf,cognitive,0.015808422366917152,-0.00824938946279644
pre12,0.007213601371455194,0.008816117033687336,0.8182288578850806,0.4132289243452846,26939,81089,12102,leinf,cognitive,0.018512187030435615,-0.0040849842875252266
post03,-0.01725726413245097,0.011911163426243944,-1.4488311103538325,0.14738862025823574,11077,81089,12102,leinf,cognitive,-0.001991583520875761,-0.032522944744026186
post06,-0.027427817262252168,0.014711238143526583,-1.8644125664107538,0.062267399817348135,6655,81089,12102,leinf,cognitive,-0.008572735095863863,-0.04628289942864047
post09,-0.005553171967771744,0.01709043385968275,-0.3249286714055852,0.7452358948696609,4474,81089,12102,leinf,cognitive,0.01635233541885938,-0.027458679354402868
post12,-0.021504606594406547,0.015060970139036659,-1.4278367459655585,0.15334270458843982,6481,81089,12102,leinf,cognitive,-0.0022012288768708983,-0.0408079843119422
post24,-0.024165829964691,0.0089011658347749,-2.71490616097505,0.006630857802244696,27192,81089,12102,leinf,cognitive,-0.012758249811589038,-0.03557341011779296
post36,-0.006343070902536669,0.009283214210466574,-0.6832839099398382,0.494429411575543,24139,81089,12102,leinf,cognitive,0.005554172398630646,-0.018240314203703985
post48,-0.02421549412424231,0.010218211654283996,-2.369836811325976,0.017798264582688787,21347,81089,12102,leinf,cognitive,-0.011119923713399312,-0.037311064535085314
pre24,0.01168133787669679,0.010676412625890067,1.0941257411098744,0.2739035678813792,18103,70586,11411,ledrl,cognitive,0.025364210519229376,-0.002001534765835797
pre12,-0.0022581286844676014,0.010109656673638074,-0.22336353818581145,0.8232532261543519,20298,70586,11411,ledrl,cognitive,0.010698339338995961,-0.015214596707931165
post03,-0.0038505775180245777,0.014832475205554817,-0.2596045140586193,0.79516961109172,7116,70586,11411,ledrl,cognitive,0.015159769325432124,-0.02286092436148128
post06,-0.0028400304666925708,0.016966331305850166,-0.1673921377282842,0.867061990608399,5143,70586,11411,ledrl,cognitive,0.018905991702445016,-0.024586052635830156
post09,-0.022506522609210912,0.018799586054752453,-1.1971818179220686,0.23123971560979448,3835,70586,11411,ledrl,cognitive,0.0015902681938654156,-0.04660331341228724
post12,0.03865457648840427,0.016700100920527268,2.314631311053409,0.020635972568179443,5243,70586,11411,ledrl,cognitive,0.06005931438677606,0.01724983859003248
post24,0.00962759517090317,0.010517327529806697,0.9154031899851007,0.3599831314871589,19945,70586,11411,ledrl,cognitive,0.023106539187664907,-0.003851348845858568
post36,-0.002342786394167369,0.01103022701294268,-0.21239693357338732,0.8317979911659258,17469,70586,11411,ledrl,cognitive,0.01179355290200159,-0.016479125690336327
post48,0.0033498431219335027,0.012092653532514059,0.27701472740673744,0.7817696088387174,15185,70586,11411,ledrl,cognitive,0.018847876444632063,-0.012148190200765059
