term,estimate,std.error,statistic,p.value,df,n,N,code,outcome,upper,lower
pre24,0.05374454839632243,0.030674066567767787,1.7521168338598128,0.07978713528691397,9172,2133,1821,levio,cognitive,0.09306713048645426,0.014421966306190588
pre12,-0.0924057626907327,0.028241765683361474,-3.271954159196682,0.0010720169997685013,9172,2496,1821,levio,cognitive,-0.05620289828996396,-0.12860862709150145
post03,-0.19795902576754895,0.039624939032643955,-4.995819062446144,5.966774457284572e-7,9172,1046,1821,levio,cognitive,-0.1471455010806881,-0.2487725504544098
post06,-0.17854711132515663,0.050227391889310274,-3.5547756833290047,3.8020568913394847e-4,9172,646,1821,levio,cognitive,-0.11411212445736757,-0.2429820981929457
post09,-0.204996429163791,0.05165981686102931,-3.96819891396933,7.296966256649051e-5,9172,548,1821,levio,cognitive,-0.13871165811634384,-0.27128120021123814
post12,-0.11468464084813161,0.052007241123949194,-2.2051667877325576,0.02746711438530191,9172,640,1821,levio,cognitive,-0.04796570455046682,-0.1814035771457964
post24,-0.06465455316612224,0.030151713046502222,-2.144307789955654,0.03203443458421677,9172,2626,1821,levio,cognitive,-0.026003851425789253,-0.10330525490645523
post36,-0.010194556301998735,0.03229701979195217,-0.31565006206978374,0.7522753164955029,9172,2323,1821,levio,cognitive,0.0312075186600415,-0.051596631264038975
post48,0.013339839899081253,0.037521317021695345,0.3555269632824448,0.7222030245585112,9172,2050,1821,levio,cognitive,0.06144085024498206,-0.034761170446819555
pre24,-0.030678250700589747,0.03928175299137155,-0.7809796754062476,0.4348423917339229,6616,1342,1370,lercl,cognitive,0.01968815272418659,-0.08104465412536609
pre12,-0.05795377768422672,0.036302220320460724,-1.5964251545121804,0.11044166353187083,6616,1605,1370,lercl,cognitive,-0.011411442176007147,-0.1044961131924463
post03,-0.22003135938507404,0.05185904476120637,-4.242873357931007,2.2368789359874726e-5,6616,684,1370,lercl,cognitive,-0.15350697611452452,-0.28655574265562356
post06,-0.055257559986731125,0.05884529049073442,-0.939031136152379,0.34774903856623574,6616,482,1370,lercl,cognitive,0.02025943024724293,-0.13077455022070517
post09,-0.0505200634468623,0.06258127861214434,-0.8072711930346934,0.41953927741575725,6616,319,1370,lercl,cognitive,0.029848030832107228,-0.13088815772583184
post12,-0.06011440768674456,0.06290046466891556,-0.9557068934731124,0.3392552573879142,6616,367,1370,lercl,cognitive,0.020641543057766512,-0.14087035843125562
post24,0.014238849804289067,0.03913633696556949,0.36382683992157494,0.7159989444482817,6616,1717,1370,lercl,cognitive,0.0644133991261216,-0.035935699517543454
post36,0.014305265653371152,0.044782524772183675,0.3194385695345332,0.7494040529600257,6616,1537,1370,lercl,cognitive,0.07172107364767612,-0.04311054234093382
post48,0.04396648726280831,0.05254061198396535,0.8368095764896355,0.40272983761399583,6616,1325,1370,lercl,cognitive,0.11133360315016899,-0.023400628624552368
pre24,0.005365681639990159,0.00922276531644067,0.5817866394610732,0.5607120175626683,81302,23702,12102,leinf,cognitive,0.017185460410656862,-0.006454097130676543
pre12,-0.0032643242365535674,0.008652063267417173,-0.3772885305689678,0.7059601795405728,81302,26939,12102,leinf,cognitive,0.00782401290555723,-0.014352661378664365
post03,-0.035522122399249303,0.011735113034478393,-3.0269944818497616,0.0024707576776906324,81302,11077,12102,leinf,cognitive,-0.02048207289993926,-0.05056217189855935
post06,-0.055763100745755356,0.014614948522755081,-3.8154838971162786,1.3601682270422138e-4,81302,6655,12102,leinf,cognitive,-0.03703143094572969,-0.07449477054578102
post09,-0.03188479560742378,0.01698418891062307,-1.8773222421873117,0.060477519008091986,81302,4474,12102,leinf,cognitive,-0.010115466713130957,-0.053654124501716596
post12,-0.0396657194187387,0.014951642296419591,-2.652933947479287,0.007981098593725795,81302,6481,12102,leinf,cognitive,-0.02050246525377624,-0.058828973583701157
post24,-0.03660963513536811,0.008727334851957078,-4.194824165267191,2.733724492665534e-5,81302,27192,12102,leinf,cognitive,-0.025424833762753493,-0.04779443650798272
post36,-0.01649914631904211,0.009097707841889046,-1.8135498090051034,0.06975074890518428,81302,24139,12102,leinf,cognitive,-0.004839645501334299,-0.028158647136749926
post48,-0.03574045679088711,0.010079943952497237,-3.545699952233629,3.917916909681317e-4,81302,21347,12102,leinf,cognitive,-0.02282208905361907,-0.04865882452815515
pre24,0.0032152069882093698,0.010462778430687682,0.3072995389808752,0.7586162904163128,70799,18103,11411,ledrl,cognitive,0.016624286401923163,-0.010193872425504423
pre12,-0.015057809928546098,0.009842874832746045,-1.529818288296281,0.12606618117155144,70799,20298,11411,ledrl,cognitive,-0.002443247718736089,-0.027672372138356105
post03,-0.020698887930387763,0.0145789911773568,-1.4197750501787814,0.15567758378692179,70799,7116,11411,ledrl,cognitive,-0.002013424103995954,-0.03938435175677957
post06,-0.013143485294134791,0.016907501257900318,-0.7773759761214434,0.4369395793970393,70799,5143,11411,ledrl,cognitive,0.008527133447834795,-0.034814104036104375
post09,-0.030884551425939794,0.018663978996155167,-1.6547677980296753,0.0979760409559781,70799,3835,11411,ledrl,cognitive,-0.0069615780097422204,-0.05480752484213737
post12,0.021214377187571975,0.01643788281254215,1.2905784418529465,0.19685410995738128,70799,5243,11411,ledrl,cognitive,0.042283026705380186,1.4572766976376703e-4
post24,-6.80356084787566e-4,0.010224984635871525,-0.06653859238093378,0.9469492213771209,70799,19945,11411,ledrl,cognitive,0.012423923028757763,-0.013784635198332895
post36,-0.00806963024831283,0.010782586943797317,-0.7483946376110499,0.4542246421052858,70799,17469,11411,ledrl,cognitive,0.0057493335272382935,-0.021888594023863953
post48,-0.0045250179625126825,0.01191649306850439,-0.37972731880929184,0.7041489779694181,70799,15185,11411,ledrl,cognitive,0.010747246819474508,-0.019797282744499874
pre24,-0.034884214608223704,0.047315480951677605,-0.7372685198709126,0.4609904591378974,5511,1197,1315,ledhm,cognitive,0.025786525082595414,-0.09555495429904282
pre12,0.039942627800452164,0.045625459172269366,0.8754460453677766,0.3813694083328045,5511,1480,1315,ledhm,cognitive,0.09844013451483,-0.018554878913925675
post03,-0.12233005792828715,0.09090941186335466,-1.345625886483136,0.17847855677171273,5511,227,1315,ledhm,cognitive,-0.005483398536082387,-0.2391767173204919
